blk_size	pop
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	1
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	2
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
40338	3
799	4
900	4
164	4
175	4
906	4
1096	4
6713	4
560	4
1056	4
1584	4
721	4
914	4
718	4
612	4
40	4
932	4
1962	4
499	4
679	4
682	4
1537	4
381	4
482	4
221	4
239	4
724	4
1679	4
83	4
1281	4
743	4
1740	4
954	4
3033	4
377	4
2931	4
814	4
67	4
155	4
627	4
558	4
250	4
1312	4
814	4
2296	4
3091	4
1831	4
391	4
4082	4
256	4
1983	4
612	4
2776	4
80	4
64	4
257	4
3449	4
109	4
446	4
3730	4
396	4
2105	4
342	4
637	4
3500	4
660	4
1102	4
3321	4
446	4
1011	4
937	4
888	4
145	4
2465	4
1040	4
278	4
3383	4
792	4
452	4
368	4
786	4
1522	4
256	4
1983	4
612	4
2776	4
346	4
2713	4
815	4
1640	4
765	4
1095	4
758	4
1229	4
2254	4
4130	4
1809	4
1354	4
1736	4
1011	4
937	4
308	4
2662	4
1362	4
352	4
42	4
4	4
3722	4
79	4
5	4
1885	4
1190	4
508	4
256	4
1159	4
5849	4
1935	4
387	4
446	4
234	4
239	4
1400	4
52	4
734	4
103	4
2887	4
49	4
1655	4
3489	4
1715	4
29	4
262	4
136	4
1034	4
10	4
2211	4
565	4
2266	4
1841	4
1680	4
713	4
4599	4
732	4
682	4
989	4
256	4
6713	4
1281	4
949	4
387	4
446	4
234	4
239	4
380	4
512	4
995	4
402	4
1622	4
237	4
1265	4
2548	4
259	4
1110	4
997	4
343	4
825	4
477	4
3794	4
2867	4
1389	4
820	4
738	4
499	4
2087	4
2337	4
576	4
1056	4
642	4
1786	4
2994	4
3455	4
2020	4
387	4
446	4
234	4
239	4
1434	4
26	4
1357	4
2174	4
744	4
1767	4
2487	4
1171	4
961	4
1530	4
769	4
354	4
474	4
387	4
131	4
909	4
1994	4
1137	4
1585	4
952	4
101	4
6473	4
408	4
418	4
2162	4
301	4
3044	4
80	4
242	4
1654	4
1328	4
478	4
387	4
446	4
234	4
239	4
724	4
1679	4
83	4
1281	4
743	4
1878	4
492	4
1320	4
6510	4
1056	4
2547	4
371	4
3066	4
593	4
101	4
6004	4
1226	4
171	4
314	4
1597	4
107	4
2367	4
516	4
504	4
80	4
578	4
485	4
864	4
300	4
1251	4
207	4
381	4
920	4
3957	4
2409	4
4025	4
1715	4
29	4
262	4
136	4
2199	4
289	4
767	4
642	4
4276	4
1362	4
352	4
42	4
4	4
2271	4
2640	4
1562	4
408	4
3851	4
689	4
278	4
401	4
1148	4
425	4
895	4
2020	4
387	4
446	4
234	4
239	4
380	4
1955	4
1432	4
381	4
1265	4
2260	4
3279	4
319	4
4495	4
