id	pc1	pc2	pc3	pc4	pc5
IRIS_313-9121	-7.8806714948560455	-0.72953187010132	-0.5374121393533606	0.5061493156170004	-0.6148046495390079
IRIS_313-11162	-7.7422570661382	-2.407922957398199	-0.44151665336434326	0.26013965228796204	1.03738406923293
B010	-7.229289331345422	-1.859457153731792	-0.7101728765094022	0.27673124658861	4.4789193652807056
IRIS_313-9182	-7.107741772771359	-1.2520809101775325	0.13633406700361633	0.33244466530789357	-0.6586182233447165
IRIS_313-10990	-7.495830672492489	-2.5201289310664676	0.3569669374214596	-0.3541317351925164	-0.6990862628717631
B026	-7.464384178293019	-1.0180990264988383	-0.907712803004092	-0.16056646066020344	0.9710856605874019
B029	-3.562627480208588	-0.08433342905291974	-0.41067435699789234	0.4077272637180477	0.7286330517712545
IRIS_313-10511	-7.8950226329716635	-3.092695722305847	-0.17370954361532615	0.19387827844135475	-3.203311067583273
IRIS_313-11205	-7.455218326102285	-1.480490327020414	-0.13042333470894835	0.5730787022860333	-0.8604315928888446
IRIS_313-9262	-7.421850765200027	-1.6285861936008592	-0.16469514626539417	0.5018581356315659	-1.1554066712858944
IRIS_313-8660	-7.159471866702644	0.052163269311775784	-1.36225980408623	-0.369574318001151	-0.19603129714923712
B059	-7.7430544954397815	-2.1980078450775395	-0.5236210209094384	-0.5052857737030775	4.827356751793257
B061	-7.285041521760211	-2.2123542841654626	-0.5151140768769161	0.07411826514683728	4.148753683789178
IRIS_313-9317	-7.405226806867127	-2.2913266372581838	0.25533452214214103	0.05996296243346044	-0.3552089797812241
IRIS_313-9320	-7.245158515098162	-2.2806407091770815	0.6967744924327918	-0.017810957056656807	-2.043906521411849
IRIS_313-9324	-7.7847222057495555	-2.6574360357653863	-0.04154814267603435	-0.11932141347835278	3.0151947074207284
IRIS_313-9325	-7.112677464481141	-2.71823113302608	0.08667622999964432	0.07812465775475061	-1.1951517286261493
IRIS_313-10997	-7.052434806029596	-2.658177462439647	0.7788949693194336	0.2466768582234041	-2.632450232351807
IRIS_313-10614	-5.934694053352998	-1.796628375244716	-0.1825017047892269	-0.008521679034128787	-0.1541795785036263
B073	-6.982619379637128	-2.5497294853458166	-0.08785275761435099	-0.054169954338627035	-0.14865270186886706
IRIS_313-11234	-5.887820801561094	-2.6497344640005815	0.8103044654772694	-0.013967855864929532	0.27903533612557185
B076	-6.1719252339057435	-1.3478325148675976	-0.09124311192581058	0.08508843108683228	0.3043401467104504
B079	-7.631150833601872	-2.0734595271521	-0.0792909098813023	-0.5156518705813251	2.498666381764376
B081	-5.891544677889303	-1.3112829931866723	-0.10316735161409626	-0.3983477028441222	1.378368892976538
IRIS_313-9384	-6.923192710615194	0.13206927716994393	-0.8272386508963926	-0.7301069642395732	-0.1834273582284725
B089	-6.096359934429456	-1.5155185368641484	-0.01098396408214334	0.2912900927480284	0.7797350878609219
B090	-6.274458440827612	-1.0523405282520977	-0.4875440076582414	0.2405136848441475	0.9061444281065184
B091	-6.847168260186387	-1.1791852372177138	-0.20870619906251547	-0.1957555121577936	1.212169827308604
B092	-6.978545665972676	-2.370360615647286	-0.6653161713700781	-0.33741430671817485	4.7684583583222855
B094	-5.777014633141615	-1.0482605779624365	-0.3966849200734088	0.1758269418518501	2.1387950057070695
B095	-7.536580101356687	-1.7751398779527283	1.0431054784318026	-0.25124023930405187	-0.5387204123974898
B096	-7.033918453136973	-2.279999191528409	-0.2353390146929298	-0.5912009316223122	1.1807180258108643
B097	-7.7623284091545255	-2.619892918127451	0.10919783129187553	0.0737740401254148	0.3074128420349503
IRIS_313-11256	-7.9507609918335875	-2.107480246120637	-0.26477063408656915	0.35695778120848476	-0.6742436032374093
IRIS_313-9424	-7.558323256070303	-2.202251875444952	-0.19977025696345613	0.012933173814159534	0.38286124056103005
IRIS_313-9427	-7.318336061577812	-2.0563780039528696	1.075264005910402	0.47136229841724825	-1.3567502326523844
IRIS_313-11261	-7.541803278854524	-2.052067760344498	-0.03747039062863044	0.5828168099686963	-1.2797138246751592
IRIS_313-11262	-7.486905751794833	-2.1655315898565792	-0.44829099465405364	0.41147239747983916	-0.14657921170281885
B107	-7.234082848783395	-3.0062218032632804	-0.26017330077977496	0.27025278842216727	0.35519431746253627
IRIS_313-11264	-7.440946894871484	-2.417705373002509	0.25509027738993817	0.24362748436287962	-0.15925561499150898
IRIS_313-11266	-8.07613742563943	-2.6561400535138735	-0.13368357079606652	-0.03054090735897218	0.014608167183839588
IRIS_313-11267	-7.514036062702227	-2.51746302736562	0.23921467063593405	0.05503411777558995	-1.144572378115323
B113	-7.8040359911362955	-2.4959852450323226	-0.28005146917355184	-0.0216144043799432	0.36956980936599126
B115	-7.329700722325734	-2.6437602628636103	-0.3221224736448862	0.18321893801659356	2.573984470154306
B116	-7.650508236224165	-1.6409227853603305	-0.42304114100356055	-0.1299035256894367	2.248294531425606
IRIS_313-11273	-7.984161549612546	-2.076298619871151	-0.1899289028865991	0.2580900305850065	-0.8835713921568781
IRIS_313-11275	-6.352140754583627	-0.561439592537412	-0.7020788533110378	-0.1914255194595797	-0.03246128894012159
IRIS_313-11276	-3.6094109700560053	-0.32003444140358944	0.25358298140932795	0.4463939004151102	-0.39110565572096967
B121	-7.470286042051363	-2.394195341271329	-0.748652464857616	-0.26519335465161975	4.662221501389488
IRIS_313-9492	-7.525432161260543	-0.9385913014923302	-0.8690458495070629	-0.3395716803902682	-0.462378974776258
B123	-4.764965998671912	-2.054642302202177	-0.9590110844915399	-0.1538027856621148	0.21919543757608986
IRIS_313-11280	-6.907447978380366	-2.667297232969399	0.24024928333328371	0.2790009988446018	-0.8621401515593102
B125	-5.959505620597877	-1.5681483389407223	0.15449105778839428	0.151758119112781	1.0642045640495827
IRIS_313-11282	-7.989909525487494	-1.0303629198697657	-0.026867228115737718	-0.041786586527254616	-1.8528188010162916
IRIS_313-11283	-6.866794933451785	-1.888565235621944	-0.072920862084329	0.1104521669015392	0.974759813049444
IRIS_313-11284	-6.453772455733589	-1.3780055930247357	0.4456835592710049	0.6800111079428478	-0.9030115366909228
B129	-5.929900148329286	-1.9539927673442063	-0.2949496700771616	-0.2392861635211095	0.20658458993348727
B130	-3.980573702358626	-0.6747102366086175	-0.49732443624126504	-0.04930832482705252	2.3256844725634114
B131	-6.372346129898535	-2.2599989684939983	-0.07232151690204634	-0.02854614311130486	0.4531660328841509
IRIS_313-11288	-6.3337281774763055	-1.6550244126883127	-0.06552381804680289	0.06902317902100048	-0.6507214445409898
IRIS_313-11292	-7.329939825694352	-1.921088496592864	-0.43287550281979315	-0.29139254699970907	-0.8002343640965814
IRIS_313-11294	-7.254229669601222	-1.9380478624798598	-0.2126233705647171	0.4160625455151306	-0.452688292109007
IRIS_313-9560	-7.650366744969869	-2.316087622723925	-0.2945019979493658	0.1820280570672424	-0.4079442846583596
B140	-7.15209294402815	-2.5394930226435837	-0.3555202036123051	-0.7769273771269036	4.993116090685218
IRIS_313-9570	-5.627645405550647	-2.3346600902950496	-0.1092283329626597	-0.4604970937615461	2.1599528422678205
IRIS_313-11300	-6.242848994980275	0.2344729520054857	-0.3990676616968732	0.5821825105665764	-1.028797267609071
IRIS_313-11301	-7.623712107867729	-1.9335782193234028	0.18511995456039684	0.5368178240675596	-1.2492930064554397
IRIS_313-11303	-5.507090835503341	-0.3162156104397796	-0.18668797542614177	0.1922326155181092	-0.31672465137894423
IRIS_313-9590	-6.704794390082769	-2.7513734593578865	0.5587870630693891	0.08488805738755462	-2.046819304161122
B149	-7.759301790982402	-2.6398286873228085	0.3786674914259046	-0.5157955459159439	3.8728770450391505
IRIS_313-9594	-7.516063488294528	-2.6282650240049774	0.33289815896239455	0.2292238094534158	-1.3623703855776088
IRIS_313-11307	-7.831440580213372	-1.9540498687418681	0.12032012162829199	0.6450827113635649	-0.4951250587914408
IRIS_313-11308	-7.969668192189067	-2.549213114382203	-0.6525235245215257	-0.10605057825115496	0.007991627637503357
IRIS_313-11309	-7.4814837125561455	-2.068319691732392	0.1166105241100356	0.013237191098276924	0.4717970887578645
IRIS_313-11310	-7.337234292169539	-1.3067561552784968	0.28816705142927873	-0.2774211117675059	0.4093561192788704
IRIS_313-9605	-7.53522316135496	-2.729705503744001	-0.6631123251344679	-0.33262869865166356	4.736776228538771
B157	-7.420522722740053	-2.4571456668729126	-0.5745679394056109	-0.13939669409088157	2.9878973412908936
IRIS_313-11316	-6.187961748383373	-2.630251352155098	1.2432640645143016	0.40125513137477314	-2.2428816679258916
IRIS_313-9619	-8.052243544737735	-2.410592036061741	-0.0014479203143557967	0.05680624054103035	-1.6875200275809916
B163	-5.344545745655587	-1.362576865679954	-0.5190429592825372	-0.3183226390367299	1.8985920886301904
IRIS_313-11321	-7.845189962625867	-2.702202354681909	0.07829334663068174	0.6822411731334727	-1.0728950750343869
IRIS_313-9634	-6.098831200879334	-1.4213699297646611	-0.11319893917908562	-0.10975488079167124	-0.344329548692895
IRIS_313-11338	-7.774191672217595	-1.918167187778425	0.3683326953976852	-0.3552793579378623	-0.45675128941080523
